Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Local,Visitant,Victoria,Diferencia
AD TORREFORTA Equipo Rival,Jornada 19,1.0,200.0,70.0,12.0,31.0,0.39,11.0,32.0,0.34,13.0,16.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,CLUB NATACIO SABADELL A,AD TORREFORTA,True,12.0
AD TORREFORTA Equipo Rival,Jornada 20,1.0,200.0,79.0,23.0,40.0,0.57,5.0,22.0,0.23,18.0,22.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,AD TORREFORTA,TERRA ENDINS CB VILATORRADA,True,19.0
AD TORREFORTA Equipo Rival,Jornada 21,1.0,200.0,52.0,12.0,42.0,0.29,8.0,35.0,0.23,4.0,14.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,REUS PLOMS SALLE,AD TORREFORTA,False,-7.0
AD TORREFORTA Equipo Rival,Jornada 22,1.0,200.0,67.0,24.0,45.0,0.53,3.0,24.0,0.12,10.0,23.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,AD TORREFORTA,CB CERDANYOLA AL DIA A,True,24.0
BASKET ALMEDA Equipo,Jornada 01,1.0,200.0,60.0,18.0,37.0,0.49,4.0,21.0,0.19,12.0,18.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,TERRA ENDINS CB VILATORRADA,BASKET ALMEDA,False,-7.0
BASKET ALMEDA Equipo,Jornada 02,1.0,200.0,62.0,23.0,44.0,0.52,2.0,18.0,0.11,10.0,20.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,BASKET ALMEDA,REUS PLOMS SALLE,False,-9.0
BASKET ALMEDA Equipo,Jornada 03,1.0,200.0,61.0,14.0,32.0,0.44,9.0,32.0,0.28,6.0,15.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,CB CERDANYOLA AL DIA A,BASKET ALMEDA,False,-25.0
BASKET ALMEDA Equipo,Jornada 04,1.0,200.0,74.0,20.0,49.0,0.41,5.0,15.0,0.33,19.0,24.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,BASKET ALMEDA,C.B. RIPOLLET A,False,-7.0
BASKET ALMEDA Equipo,Jornada 05,1.0,200.0,76.0,21.0,38.0,0.55,3.0,16.0,0.19,25.0,34.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,CLUB NATACIO TERRASSA A,BASKET ALMEDA,True,8.0
BASKET ALMEDA Equipo,Jornada 06,1.0,200.0,72.0,18.0,37.0,0.49,9.0,20.0,0.45,9.0,15.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,BASKET ALMEDA,CLOTET SUZUKI SANT BOI A,True,11.0
BASKET ALMEDA Equipo,Jornada 07,1.0,200.0,79.0,17.0,45.0,0.38,10.0,26.0,0.38,15.0,21.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,AD TORREFORTA,BASKET ALMEDA,True,15.0
BASKET ALMEDA Equipo,Jornada 08,1.0,200.0,78.0,24.0,42.0,0.57,8.0,28.0,0.29,6.0,8.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,BASKET ALMEDA,C.E.B. PALLEJA A - TAXILINE,True,13.0
BASKET ALMEDA Equipo,Jornada 09,1.0,200.0,75.0,24.0,48.0,0.5,6.0,21.0,0.29,9.0,20.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,CB TARRAGONA B,BASKET ALMEDA,False,-29.0
BASKET ALMEDA Equipo,Jornada 10,1.0,200.0,74.0,21.0,45.0,0.47,5.0,23.0,0.22,17.0,23.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,C.B.CASTELLBISBAL A,BASKET ALMEDA,True,5.0
BASKET ALMEDA Equipo,Jornada 11,1.0,200.0,67.0,18.0,38.0,0.47,5.0,16.0,0.31,16.0,28.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,BASKET ALMEDA,CLUB NATACIO SABADELL A,True,11.0
